task,model,language,param_changed,param_value,prompt_style,f1,energy_j,J_per_entity,J_per_TP,F1_per_J
NER,12B,ibo,batch_size,512,6,0.5014418999151823,11998.048999999999,3.983416002656042,8.117759810554803,4.179361993897361e-05
NER,12B,ibo,batch_size,512,7,0.4198859005704972,11051.802999999956,3.398463407134058,8.580592391304315,3.7992524891232575e-05
NER,12B,ibo,batch_size,512,8,0.24507772020725385,17234.527000000002,17.640252814739,36.43663213530656,1.422015934683057e-05
NER,12B,kin,batch_size,512,1,0.641311475409836,29419.555999999982,9.459664308681667,15.040672801635983,2.1798815570494552e-05
NER,12B,kin,batch_size,512,2,0.6644951140065147,22938.804999999935,7.2821603174602965,11.24451225490193,2.896816612750824e-05
NER,12B,kin,batch_size,512,3,0.5975463794135248,29274.77999999991,7.924953979426072,14.65937906860286,2.041164372246441e-05
NER,12B,kin,batch_size,512,4,0.6361898693851544,16433.40100000007,4.997993004866202,8.229044066099185,3.871322006839313e-05
NER,12B,kin,batch_size,512,5,0.5870918754745634,24072.3189999999,6.696055354659221,12.453346611484688,2.4388671298123203e-05
NER,12B,kin,batch_size,512,6,0.6233442418575659,19272.558999999892,5.623740589436793,9.636279499999945,3.2343615700310965e-05
NER,12B,kin,batch_size,512,7,0.6140378799936336,26910.288999999873,8.171967506832637,13.950383100051775,2.2817959331229644e-05
NER,12B,kin,batch_size,512,8,0.31280310378273524,17169.040000000037,15.14024691358028,26.61866666666672,1.821902120227657e-05
NER,12B,lug,batch_size,512,1,0.7321681624940956,8560.24199999997,3.7544921052631444,5.522736774193529,8.553124578652078e-05
NER,12B,lug,batch_size,512,2,0.7477562588568729,7003.165000000037,3.071563596491244,4.423982943777661,0.00010677404557180488
NER,12B,lug,batch_size,512,3,0.6734875444839858,6083.699000000022,2.3932726199842733,4.018295244385748,0.0001107036269355179
NER,12B,lug,batch_size,512,4,0.7337110481586403,5307.618000000017,2.325862401402286,3.415455598455609,0.00013823735019337073
NER,12B,lug,batch_size,512,5,0.7533143939393939,4540.401000000071,2.00017665198241,2.853803268384708,0.00016591362611790945
NER,12B,lug,batch_size,512,6,0.7982129560685034,7682.462999999989,3.7023918072289104,4.777651119402978,0.00010390065738923892
NER,12B,lug,batch_size,512,7,0.7052301759460111,8061.267999999924,3.6725594533029264,5.510094326725853,8.748377748339563e-05
NER,12B,lug,batch_size,512,8,0.5479710600817868,13961.097999999998,11.39681469387755,16.02881515499426,3.92498541362425e-05
NER,12B,nya,batch_size,512,1,0.6543922608831331,11656.983,3.3975467793646166,5.558885550786838,5.6137360831969394e-05
NER,12B,nya,batch_size,512,2,0.6769281694803044,8075.903999999995,2.6357389033942544,3.949097310513445,8.382073009786952e-05
NER,12B,nya,batch_size,512,3,0.6210112195832727,7095.701000000001,1.8264352638352641,3.329751759737213,8.751936131233159e-05
NER,12B,nya,batch_size,512,4,0.7136970496126586,9132.853000000003,2.9565726772418266,4.218407852193996,7.81461225328666e-05
NER,12B,nya,batch_size,512,5,0.7409546458297945,8831.337999999989,3.035867308353382,4.049215038972943,8.390061005815828e-05
NER,12B,nya,batch_size,512,6,0.7318864774624374,18567.40300000002,6.164476427622849,8.47053056569344,3.941781612982907e-05
NER,12B,nya,batch_size,512,7,0.61457527464026,5789.975999999995,1.6613991391678609,2.915395770392747,0.00010614470157393753
